N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.87941283513284,0.8607539385290346,0.8577458708446509,0.4451073985680191,0.7367128510439062,0.5401931385222409
model_2,500,2,1,0.8824457115127987,0.8678285513481264,0.870677421403112,0.5143198090692124,0.6938882805204516,0.5864424103648463
model_3,500,3,1,0.8559990294795584,0.8048065969806333,0.8251986514191237,0.3788782816229117,0.43603810461197595,0.3883524973849658
model_4,500,1,2,0.908164503214849,0.8935802764188273,0.8973101353393145,0.597255369928401,0.7492481469413015,0.6590618001750814
model_5,500,2,2,0.9257551862186097,0.9231166116985501,0.9225987507410132,0.7321002386634845,0.8138820925103254,0.764550468187834
model_6,500,3,2,0.9276962271017833,0.9232006758155589,0.9227300206155585,0.7034606205250596,0.8537057206775628,0.7671815739339894
model_7,800,1,2,0.9153220914715516,0.9080771421436824,0.9063354719489681,0.6276849642004774,0.8186667506492978,0.7002073838264122
model_8,800,2,2,0.9272109668809899,0.9237030281919129,0.9208108341734813,0.6945107398568019,0.8686150246518268,0.7611400282769065
model_9,800,3,2,0.9333980346961058,0.9327915458342512,0.9314958016467574,0.7583532219570406,0.8398359018097268,0.7917009192948169
